Model,Accuracy,Loss,AUC
decent-sweep-4-02.h5,0.8388,0.494,0.6316
decent-sweep-4-04.h5,0.5298,0.8464,0.8202
decent-sweep-4-06.h5,0.885,0.336,0.8158
decent-sweep-4-08.h5,0.8581,0.3156,0.866
decent-sweep-4-10.h5,0.9211,0.2374,0.8648
decent-sweep-4-12.h5,0.5256,1.7189,0.7738
decent-sweep-4-14.h5,0.7985,0.3961,0.8998
decent-sweep-4-16.h5,0.8841,0.2867,0.9084
decent-sweep-4-18.h5,0.6524,1.1402,0.9036
decent-sweep-4-20.h5,0.8816,0.2646,0.8926
decent-sweep-4-22.h5,0.9454,0.1899,0.9141
decent-sweep-4-24.h5,0.8976,0.2568,0.9269
decent-sweep-4-26.h5,0.8841,0.3149,0.8817
decent-sweep-4-28.h5,0.8657,0.3748,0.9188
decent-sweep-4-30.h5,0.7221,0.8255,0.9335
decent-sweep-4-32.h5,0.8925,0.2582,0.9221
decent-sweep-4-34.h5,0.8925,0.3437,0.9104
decent-sweep-4-36.h5,0.8858,0.3387,0.9119
decent-sweep-4-38.h5,0.895,0.4162,0.9573
decent-sweep-4-40.h5,0.8237,0.6343,0.9339
