Model,Accuracy,Loss,AUC
fiery-sweep-14-02.h5,0.5709,0.5779,0.7207
fiery-sweep-14-04.h5,0.5903,0.7508,0.7446
fiery-sweep-14-06.h5,0.6322,0.6644,0.8512
fiery-sweep-14-08.h5,0.4039,1.321,0.8127
fiery-sweep-14-10.h5,0.8254,0.3939,0.8567
fiery-sweep-14-12.h5,0.4895,1.2999,0.8385
fiery-sweep-14-14.h5,0.9118,0.2791,0.882
fiery-sweep-14-16.h5,0.843,0.3223,0.9162
fiery-sweep-14-18.h5,0.89,0.2551,0.9334
fiery-sweep-14-20.h5,0.5802,0.9616,0.9027
fiery-sweep-14-22.h5,0.9051,0.2542,0.9155
fiery-sweep-14-24.h5,0.8581,0.7655,0.7337
fiery-sweep-14-26.h5,0.6725,0.9196,0.9129
fiery-sweep-14-28.h5,0.9312,0.2805,0.9294
fiery-sweep-14-30.h5,0.895,0.2728,0.9348
fiery-sweep-14-32.h5,0.8421,0.4422,0.9007
fiery-sweep-14-34.h5,0.6406,0.7895,0.9108
fiery-sweep-14-36.h5,0.7196,0.7309,0.8338
fiery-sweep-14-38.h5,0.7296,0.7348,0.8928
fiery-sweep-14-40.h5,0.9177,0.2698,0.9448
