Model,Accuracy,Loss,AUC
honest-sweep-24-02.h5,0.3887,7.9783,0.4617
honest-sweep-24-04.h5,0.8472,0.3584,0.7688
honest-sweep-24-06.h5,0.9001,0.2981,0.7874
honest-sweep-24-08.h5,0.6499,0.8314,0.8481
honest-sweep-24-10.h5,0.895,0.3005,0.8442
honest-sweep-24-12.h5,0.8757,0.2663,0.9282
honest-sweep-24-14.h5,0.4374,1.4568,0.9028
honest-sweep-24-16.h5,0.8589,0.3053,0.8521
honest-sweep-24-18.h5,0.9437,0.1978,0.9083
honest-sweep-24-20.h5,0.9463,0.2214,0.9172
honest-sweep-24-22.h5,0.9362,0.2187,0.9225
honest-sweep-24-24.h5,0.895,4.6455,0.4471
honest-sweep-24-26.h5,0.89,0.3073,0.9104
honest-sweep-24-28.h5,0.895,1.8751,0.433
honest-sweep-24-30.h5,0.8707,0.2988,0.9319
honest-sweep-24-32.h5,0.3191,2.9872,0.8935
honest-sweep-24-34.h5,0.9312,0.2686,0.9396
honest-sweep-24-36.h5,0.7741,0.7172,0.9392
honest-sweep-24-38.h5,0.7498,0.7606,0.909
honest-sweep-24-40.h5,0.8262,0.5541,0.8465
